Week,Home,Away,Predicted Goals (Home),Predicted Goals (Away),goal_diff,Home Clean Sheet %,Away Clean Sheet %
35.0,Newcastle Utd,Sheffield Utd,3.96,0.47,3.48,63.0,2.0
35.0,Bournemouth,Brighton,1.02,2.31,1.29,10.0,36.0
36.0,Arsenal,Bournemouth,3.28,0.47,2.81,63.0,4.0
36.0,Burnley,Newcastle Utd,0.6,2.72,2.12,7.000000000000001,55.00000000000001
36.0,Liverpool,Tottenham,2.71,1.12,1.58,33.0,7.000000000000001
36.0,Manchester City,Wolves,2.75,0.65,2.1,52.0,6.0
36.0,Brighton,Aston Villa,1.55,1.65,0.1,19.0,21.0
36.0,Luton Town,Everton,1.02,2.13,1.11,12.0,36.0
36.0,Crystal Palace,Manchester Utd,1.49,1.35,0.14,26.0,23.0
36.0,Sheffield Utd,Nott'ham Forest,0.92,1.61,0.69,20.0,40.0
36.0,Brentford,Fulham,2.79,0.79,2.0,45.0,6.0
36.0,Chelsea,West Ham,3.1,0.91,2.19,40.0,5.0
37.0,Wolves,Crystal Palace,1.48,1.24,0.24,28.999999999999996,23.0
37.0,West Ham,Luton Town,2.25,1.19,1.06,30.0,11.0
37.0,Nott'ham Forest,Chelsea,0.86,2.24,1.38,11.0,42.0
