,second_name,first_name,team,element_type,selected_by_percent,now_cost,minutes,transfers_in,transfers_out,value_season,bonus,bps,total_points,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,points_per_game,value_form,value_season,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,id_x,id_y,plural_name,singular_name,pos_short,id,name,full_name
68,Zaniolo,Nicolo,2,3,0.1,54,497,12482,10959,3.1,0,3,17,1.68,0.53,2.21,7.10,0.3,0.1,0.4,1.29,1.3,0.2,3.1,1,0,1,7,0,0,0,4,0,0,672,3,Midfielders,Midfielder,MF,2,Aston Villa,Nicolo Zaniolo
69,Zych,Oliwier,2,1,0.1,40,0,6697,5491,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,686,1,Goalkeepers,Goalkeeper,GK,2,Aston Villa,Oliwier Zych
70,Lenglet,Clement,2,2,0.1,45,180,10528,5122,1.3,0,40,6,0.00,0.43,0.43,1.60,0.0,0.22,0.22,0.8,3.0,0.2,1.3,0,1,0,4,0,0,0,0,0,0,699,2,Defenders,Defender,DF,2,Aston Villa,Clement Lenglet
71,Proctor,Sam,2,1,0.0,40,0,77,25,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,765,1,Goalkeepers,Goalkeeper,GK,2,Aston Villa,Sam Proctor
72,O'Reilly,Tommi,2,3,0.0,45,0,68,17,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,767,3,Midfielders,Midfielder,MF,2,Aston Villa,Tommi O'Reilly
73,Anthony,Jaidon,3,3,0.0,49,151,1618,12673,0.6,0,4,3,0.07,0.02,0.09,4.44,0.04,0.01,0.05,2.65,1.0,0.0,0.6,0,0,0,5,0,0,0,1,0,0,62,3,Midfielders,Midfielder,MF,3,Bournemouth,Jaidon Anthony
74,Billing,Philip,3,3,0.4,52,1132,61391,93867,9.4,3,188,49,2.08,1.73,3.81,23.53,0.17,0.14,0.31,1.87,2.9,0.7,9.4,2,3,1,28,0,0,0,3,0,0,63,3,Midfielders,Midfielder,MF,3,Bournemouth,Philip Billing
75,Brooks,David,3,3,0.1,48,242,9206,13908,4.4,2,63,21,1.92,0.39,2.31,4.90,0.71,0.15,0.86,1.82,1.9,0.2,4.4,1,1,0,4,0,0,0,1,0,0,64,3,Midfielders,Midfielder,MF,3,Bournemouth,David Brooks
76,Christie,Ryan,3,3,0.1,50,1412,19112,14763,9.0,3,198,45,0.87,2.15,3.02,23.68,0.06,0.14,0.2,1.51,2.5,0.7,9.0,0,2,5,27,0,0,0,2,0,0,65,3,Midfielders,Midfielder,MF,3,Bournemouth,Ryan Christie
77,Cook,Lewis,3,3,0.0,50,999,2537,3668,5.6,2,166,28,0.07,0.98,1.05,20.93,0.01,0.09,0.1,1.89,2.2,0.6,5.6,0,1,4,18,0,0,0,1,1,0,66,3,Midfielders,Midfielder,MF,3,Bournemouth,Lewis Cook
78,Dembele,Siriki,3,3,0.0,45,0,0,385,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,67,3,Midfielders,Midfielder,MF,3,Bournemouth,Siriki Dembele
79,Fredericks,Ryan,3,2,0.0,43,0,733,2329,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,68,2,Defenders,Defender,DF,3,Bournemouth,Ryan Fredericks
80,Hill,James,3,2,0.1,40,15,6669,21221,0.2,0,1,1,0.00,0.01,0.01,0.19,0.0,0.06,0.06,1.14,1.0,0.0,0.2,0,0,0,0,0,0,0,0,0,0,69,2,Defenders,Defender,DF,3,Bournemouth,James Hill
81,Kelly,Lloyd,3,2,0.0,45,681,10907,11147,4.4,3,137,20,0.12,0.15,0.27,10.98,0.02,0.02,0.04,1.45,2.2,0.0,4.4,0,0,2,14,0,0,0,1,0,0,70,2,Defenders,Defender,DF,3,Bournemouth,Lloyd Kelly
82,Kilkenny,Gavin,3,3,0.1,43,0,7448,8678,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,71,3,Midfielders,Midfielder,MF,3,Bournemouth,Gavin Kilkenny
83,Kluivert,Justin,3,3,0.4,46,744,54845,60240,8.3,2,84,38,1.03,0.79,1.82,11.89,0.12,0.1,0.22,1.44,2.7,0.7,8.3,2,0,5,9,0,0,0,1,0,0,72,3,Midfielders,Midfielder,MF,3,Bournemouth,Justin Kluivert
84,Lowe,Jamal,3,3,0.0,49,0,81,1250,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,73,3,Midfielders,Midfielder,MF,3,Bournemouth,Jamal Lowe
85,Marcondes,Emiliano,3,3,0.1,43,0,9320,8423,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,74,3,Midfielders,Midfielder,MF,3,Bournemouth,Emiliano Marcondes
86,Mepham,Chris,3,2,0.1,43,175,2080,6521,0.9,0,25,4,0.09,0.03,0.12,3.05,0.05,0.02,0.07,1.57,0.8,0.0,0.9,0,0,0,6,0,0,0,1,0,0,75,2,Defenders,Defender,DF,3,Bournemouth,Chris Mepham
87,Moore,Kieffer,3,4,0.2,47,93,18898,45703,2.8,2,39,13,1.03,0.32,1.35,1.86,1.0,0.31,1.31,1.8,1.9,0.3,2.8,1,0,0,1,0,0,0,0,0,0,76,4,Forwards,Forward,FW,3,Bournemouth,Kieffer Moore
88,Murara Neto,Norberto,3,1,3.4,46,1440,440116,194258,14.6,10,324,67,0.00,0.01,0.01,26.35,0.0,0.0,0.0,1.65,4.2,1.1,14.6,0,0,5,25,0,1,0,3,0,58,77,1,Goalkeepers,Goalkeeper,GK,3,Bournemouth,Neto
89,Ouattara,Dango,3,3,0.0,47,406,1118,4982,3.2,0,59,15,1.10,0.38,1.48,5.78,0.24,0.08,0.32,1.28,1.2,0.3,3.2,0,0,2,7,0,0,0,2,0,0,78,3,Midfielders,Midfielder,MF,3,Bournemouth,Dango Ouattara
